Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Commercial Divers,inspect condition,"inspect structure, inspect function, monitor condition, verify condition, identify condition, determine condition, maintain condition, assess condition, consider condition, evaluate condition, recommend condition"
Biofuels/Biodiesel Technology and Product Development Managers,conduct experiment,"conduct communication, conduct procedure, conduct evaluation, conduct exchange, conduct transaction, conduct operation, conduct research, conduct analysis, conduct experiment, conduct assessment, conduct testing, conduct study, implement experiment, conduct monitoring"
Nursing Assistants,report change,"report change, report configuration, report progress, generate report"
Hearing Aid Specialists,"administer test, evaluate hearing","test accuracy, test modification, test network, test datum, test acuity, compile test, provide test, select test, perform test, test terminal, test interface, facilitate test, conduct test, test integrity, test awareness, test function, administer test, test application, test vision, test strategy, improve test, test capability, test functionality, execute test, test process, test robustness, test sample, test test, test performance, test address, test integration, generate test, test sensitivity, test computing, test obstacle, test equipment, simulate test, validate test, test examinee, identify test"
Waiters and Waitresses,collect payment,"transfer payment, facilitate payment, provide payment, receive payment"
Sewing Machine Operators,"alter item, add part","mimic item, manipulate item"
Self-Enrichment Teachers,prepare material,"prepare composition, prepare material, prepare compound"
"Communications Teachers, Postsecondary","maintain hour, assist student","assist learner, assist enrollment, assist instructor"
Mental Health Counselors,modify activity,"transmit activity, modify specificity, regulate activity, modify activity, modify restriction, validate activity, modify visualization, modify deceleration, modify function, change activity, modify instance, modify interaction, determine activity"
Biofuels Processing Technicians,inspect equipment,"inspect appliance, maintain equipment, monitor equipment, identify equipment, retrofit equipment, handle equipment, retrieve equipment, inspect apparatus, determine equipment"
Radiation Therapists,"help physician, prepare aspect, use information","use access, use reasoning, use compound, use distillation, use image, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use guide, use estimator, use catalyst, use transfer, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use market, use heuristic, use extension, use psilocybin, use action, use regression, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use site, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use satellite, use detection, use metadata, use patch, use background, use lineage, use normalizer, use graph, use conversion, use affect, use reaction, use script, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use secret, use interaction, use repository, use credential, use domain, use counter, use combination, use value, use circumstance, use illustration, use normalization, use lattice, use policy, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use event, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use relevance, use user, use abstract, use difference, use resource, use mutation, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use aircraft, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use tiling, use polymerization, use object, use packer, use logic, use genome, use measurement, use imagery, use index, use reasoner, use propensity, use LOGIC, use contract, use manipulator, use evaluation, use portion, use environment, use integration, use hydrogel, use sentiment, use profiling, use quantification, use tomography, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use definition, use consistency, use controller, use depth, use field, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use forecasting, use stub, use emotion, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use topic, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use file, use factor, use cookie, use therapy, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use instantiation, use interpolation, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use tool, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use theory, use variance, use reconnaissance, use inhibitor, use switching, use representative, help patient, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use corpus, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, utilize information, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use group, use intensity, use induction, use vocabulary, use choice, use physiology, use text, adjust use, use movement, use radiation, use address, use architecture, use evidence, use perspective, detect use, use language, use identifier, use tracker, use conversation, use reset, use stimulus, use stack, use tachograph, use forward, use hardware, use form, use compiler, use revenue, use motion, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use science, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use design, use recommendation, use algebra, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use rating, use warping, use space, use profile, use attention, use authentication, use envelope, use perforation, use transducer, use repertoire, use portal, use history, use evaluator, use network, use annotation, use irradiation, use primer, use locator, utilize identification, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use sensitizer, use block, use string, use reagent, use alias, use procedure, use gradient, use solution, use infrastructure, use bacteriophage, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use adjustment, use oscillator, use contrast, use indication, use instruction, use modulus, use detector, use target, use channel, use check, use view, use description, use stimulation, use decomposition, use temperature, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use protein, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use authorization, use adaptation, use gateway, use occurrence, use shard, use change, use population, use processor, use extraction, use planning, use modality, use training, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use mining, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use engineering, use region, use chromatography, use transmission, use alignment, use category, use hyperlink, use core, use manufacturing, use agonist, use implementation, use screen, use station, use library, use cleaner, use computer, use popularity, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pseudo, use telephone, use filter, use sharing, use response, use correction, use sample, use relationship, use extract, use repeater, use copy, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use awareness, use coordination, use manifold, use replay, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use foresight, use platform, use operation, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use concealment, use account, use replacement, use vibration, use array, use scheduler, use spectroscopy, use reward, use summary, use transformer, use insertion, use feedback, use reactor, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use nuclease, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use cryptography, use proposal, quantify use, use capability, use layout, use multitude, use item, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use element, use dispersion, use dioxide, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use model, use replication, use recognition, use comparison, use selection, use link, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use approximation, use scheduling, use command, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use teacher, use entry, use publication, use proof, use coordinate, use tracking, use energy, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use translation, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
"Painters, Construction and Maintenance",consider durability,"consider requirement, consider condition, consider characteristic"
First-Line Supervisors of Retail Sales Workers,"reconcile receipt, perform service","evaluate service, discover service, exercise service, integrate service, provide service, implement service, manage service, generate service, facilitate service, automate service, configure service, activate service, perform communication, leverage service, coordinate service, simulate service, deliver service, perform maintenance, handle service, perform aggregation, distribute service, perform service, prioritize service"
Outdoor Power Equipment and Other Small Engine Mechanics,"replace part, use tool","use access, use reasoning, use compound, use distillation, use image, use terminal, use prescription, use intelligence, use doppler, use adaptability, use exercise, use assistant, use molecule, use estimator, use catalyst, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use heuristic, use extension, recognize part, use regression, identify use, use strength, use geometry, use automation, use spline, use variable, use preparation, manufacture part, use planner, use ledger, use trajectory, manage use, use modeling, use topology, use reinforcement, use assembly, use fingerprinting, use glove, use neuroscience, use ellipse, use lithography, use document, use satellite, use detection, use metadata, use patch, use background, use graph, use conversion, use script, use programming, identify part, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use interaction, use repository, use credential, use domain, use counter, use combination, use circumstance, use illustration, use normalization, use engine, use tetracycline, use sensing, use consensus, use collection, use consumer, use discovery, use particle, use tensor, use assessment, use relevance, use user, use abstract, use difference, use resource, use heartbeat, use management, use update, monitor use, use database, use surveillance, use vector, use cognition, use universal, use palette, determine use, use pipeline, use histogram, use keypad, use input, use localization, use automobile, use gesture, use buffer, use message, use potential, use weighting, facilitate use, use camera, use type, use sampling, use matrix, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use magnification, use plurality, use fabric, use washer, use object, use packer, use logic, use earpiece, use measurement, use imagery, use propensity, use manipulator, use evaluation, use environment, use integration, use robot, use sentiment, use profiling, use quantification, use tomography, use routine, use shield, use indicator, use dialogue, use formulation, use quotient, use characteristic, use definition, use consistency, use controller, use provider, use evolution, use variant, use overlay, use absorption, use measure, use subunit, use output, use graphic, use workflow, use forecasting, use stub, use projection, use cache, use reclassification, use classification, use scheme, use computation, modify use, use electrocardiogram, use convolution, use imitation, use template, use compression, use reconstruction, use plating, use device, use internet, use diagram, determine part, use pharmaceutical, use certificate, use verification, use synthesis, use steering, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use factor, use cookie, use computing, use scaling, use generator, use medium, use technology, use component, use information, use bottleneck, use resolution, use sensitivity, use alloy, use instantiation, use interpolation, use framework, use token, use handler, use system, use correspondence, use product, produce part, use analysis, use differentiator, use premise, use thermography, use dynamic, use client, use tool, use bandwidth, use stability, use mixture, use taxonomy, use texture, use catheter, use variance, integrate tool, use reconnaissance, use inhibitor, use switching, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use proxy, use spectrometry, use picture, use construct, use validation, use dimension, use monitoring, use grating, use phrase, use problem, use oracle, use question, use statistic, use actuator, use personality, use sequence, use tending, use vocabulary, use choice, adjust use, use architecture, use perspective, use identifier, use tracker, use conversation, use reset, use stack, use tachograph, use hardware, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use criterion, use interface, use cluster, use retrieval, use context, use spelling, use packet, use segment, use waveform, use activity, use equipment, use balancing, use display, use substitution, locate part, use interval, use design, use recommendation, merge part, use thesaurus, provide tool, use simulator, use learning, use primitive, use experience, use warping, use profile, use authentication, use envelope, use transducer, use repertoire, use portal, use evaluator, use network, use primer, use guide, use instance, use inference, use tocopherol, use principle, optimize use, use blueprint, use machine, use transaction, use approach, use seam, use sensitizer, use procedure, use gradient, use solution, use infrastructure, use bacteriophage, use program, use capacity, use polygon, use adjustment, use inversion, use oscillator, use instruction, use frame, use modulus, use detector, use target, use channel, use description, use hologram, use oscillation, use priming, use diffusion, use pattern, use encryption, use commodity, use instrument, use aggregation, use spreadsheet, use gateway, use shard, use processor, use extraction, use planning, use modality, use biofeedback, use cardiogram, use visualization, use wallet, use conditioning, use subset, use estimate, use timing, use magnet, use fragment, use highlight, use process, use ordering, use specification, use photograph, use parallelism, use entropy, use estimation, use dictionary, use plug, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use manufacturing, use implementation, use screen, comprise part, use library, use cleaner, use computer, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use intent, use connectivity, use prop, use simulation, use headphone, use container, use drawing, use positioning, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, use pseudo, use filter, use correction, use extract, use sample, use regularization, use mechanism, use imaging, use software, use drone, use transistor, use mapping, use article, use mode, use electromyography, use vehicle, use probability, use distribution, use foresight, use platform, use electroencephalogram, use quantization, use grammar, use knowledge, use playback, use concealment, use replacement, use vibration, use scheduler, use spectroscopy, use reward, use summary, use transformer, use insertion, use feedback, use supplementation, use therapeutic, use microscopy, use material, use fingerprint, use vocalization, use segmentation, use determination, use linkage, use accelerator, use reader, use mirror, quantify use, use cryptography, use capability, use layout, use multitude, use item, use guarantee, use augmentation, use earphone, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use snapshot, use spectrometer, use pointer, use difficulty, use element, instal part, use dispersion, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use model, use replication, use comparison, use selection, use frequency, use polishing, use satisfaction, use repetition, use format, use mismatch, use messenger, use protocol, use approximation, use scheduling, use decoding, use magnetometer, use method, use marker, use expression, use pricing, use coordinate, use tracking, use package, use mobile, use source, use concept, use variability, use preference, use clumping, use accelerometer, generate tool, use propagation, use interoperability, use reference, use microscope, use hierarchy, use preview, enable use, use kernel, use lexicon, use adder, use coherence, use marking, use fluorescence, use technique, use threshold, use receptivity, use structure, use nanotube, use browser"
Music Directors and Composers,"transcribe composition, create style","comprise composition, sequence application, sequence recommendation, provide style, synthesize representation, modulate composition, create design, manage style, transcribe affirmation, compute decomposition, incorporate composition"
Fiberglass Laminators and Fabricators,"modify part, check thickness, ensure fit","instal part, determine part, identify part, check container, monitor part, evaluate fit, evaluate part, check accuracy, recognize part, change part"
Political Scientists,"evaluate program, make recommendation","make product, make structure, make mixture, invoke program, make decision, make server, translate program, recommend program, make temp, transform program, make capability, make resource, make estimation, make object, make animation, make composition, perform program, inspect program, make character, assist program, provide program, make prediction, determine program, make recommendation, generate program, make restoration, program resource, make particle, make module, make overlay, make beverage, select program, make string, make material, make determination, establish program, make information, make adjustment, make advice, make method, retrieve program, make request, develop program, make coating, make inference, make sequence, make formulation, evaluate intelligibility, calculate program, make payment, make compound, make construction, recognize program, execute program, evaluate training, evaluate program, construct program"
"Switchboard Operators, Including Answering Service",use telephone,"use access, use reasoning, use compound, use distillation, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use catalyst, use transfer, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use heuristic, use extension, use psilocybin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use reality, use scan, use protection, use ledger, use trajectory, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use glove, use neuroscience, use ellipse, use lithography, use support, use document, use satellite, use detection, use metadata, use patch, use background, use lineage, use normalizer, use graph, use conversion, use reaction, use script, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use secret, use interaction, use repository, use credential, use domain, use speech, use gate, use counter, utilize telephone, use combination, use lidar, use circumstance, use illustration, use normalization, use lattice, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use talk, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use guesser, use relevance, use user, use abstract, use difference, use resource, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use cue, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use aircraft, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use camera, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use object, use packer, use logic, use measurement, use imagery, use reasoner, use propensity, use LOGIC, use contract, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use robot, use sentiment, use profiling, use quantification, use tomography, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use window, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use representation, use circuit, use workflow, use forecasting, use stub, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use video, use synthesis, use verification, use chip, use steering, use radar, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use descent, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use radio, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use bandwidth, use stability, use mixture, use composition, use taxonomy, use catheter, use variance, use reconnaissance, use inhibitor, use switching, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use corpus, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use intensity, use induction, use vocabulary, use choice, use physiology, adjust use, use store, use radiation, use address, use architecture, use evidence, use perspective, detect use, use language, use identifier, use tracker, use conversation, use cloud, use reset, use stimulus, use stack, use tachograph, use hardware, use compiler, use revenue, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use waveform, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use algebra, use recommendation, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use warping, use profile, use attention, use sound, use envelope, use authentication, use perforation, use transducer, use repertoire, use portal, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use sensitizer, use block, use string, use reagent, use alias, use grid, use gradient, use solution, use infrastructure, use procedure, use bacteriophage, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use adjustment, use oscillator, use contrast, use indication, use instruction, use frame, use optic, use modulus, use detector, use target, use channel, use check, use description, use stimulation, use decomposition, use temperature, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use instrument, use probe, use aggregation, use spreadsheet, use discriminator, use ensemble, use authorization, use adaptation, use voice, use gateway, use occurrence, use shard, use change, use processor, use extraction, use planning, use modality, use training, use bridge, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use plug, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use hyperlink, use manufacturing, use agonist, use implementation, use screen, use library, use cleaner, use computer, use popularity, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use feature, use handle, use audio, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pulse, use pseudo, use telephone, use filter, use sharing, use response, use correction, use sample, use relationship, use extract, use repeater, use phone, use copy, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use awareness, use coordination, use manifold, use replay, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use dial, use foresight, use platform, use operation, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use alarm, use concealment, use account, use replacement, use vibration, use array, use scheduler, use spectroscopy, use reward, use summary, use transformer, use insertion, use feedback, use reactor, use tap, use supplementation, use therapeutic, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use pass, use proposal, use cryptography, quantify use, use capability, use layout, use multitude, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use element, use dispersion, use dioxide, use cursor, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use replication, use recognition, use comparison, use selection, use link, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use approximation, use scheduling, use command, use decoding, use magnetometer, use method, use marker, use expression, use entry, use nitrogen, use pricing, use teacher, use publication, use proof, use coordinate, use tracking, use swarm, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use translation, use adder, use coherence, use marking, use fusion, use technique, use threshold, use receptivity, use fluorescence, use structure, use nanotube, use browser"
Accountants and Auditors,transmit record,"generate record, distribute record, record signal, record communication, record recording"
Hazardous Materials Removal Workers,"remove material, contaminate material","remove projection, remove autofluorescence, remove information, manufacture material, remove method, remove function, classify material, compost material, remove pattern, contain material, remove material, remove obstruction, produce material, remove appliance, comprise material, remove content, remove object, remove reflection, remove artifact, remove composition, incorporate material"
Veterinary Technologists and Technicians,monitor supply,"distribute monitor, manage supply, monitor manufacture, monitor consumption, supply detection, monitor equipment, optimize supply, supply deployment"
"Biological Science Teachers, Postsecondary",obtain material,"obtain characteristic, obtain measure, obtain variability, obtain measurement, obtain function, obtain object, obtain method, obtain transliteration, provide material, obtain identification, obtain content, produce material, obtain document, obtain indication, obtain parameter, obtain translation, obtain environment, generate material, obtain preference, obtain information, incorporate material"
Animal Trainers,conduct show,show representation
